LV1_ISO,LV2_Category,VDI3233_No,HB,HRC,Material_Description,Composition_Heat_Treatment,Material_No,JIS,DIN,AISI_ASTM_SAE,BS,EN,AFNOR,SS,UNI,UNE_IHA,UNS,GOST,GB,Brands
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7715,14MoV6-3,1503-660-440,13MoCrV6,,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.8159,SUP 10,50CrV4,6150,735A50,47,50CrV4,2230,50CrV4,G61500,50C GFA,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.8161,58CrV4,,,,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.8509,SACM 645,41CrAlMo7,A355A,905M39,41B,40CAD6-12,2940,41CrAlMo7,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.8523,39CrMoV13-9,897M39,40C,36CrMoV12,,,,,,,,,
P,Prehardened Steels,5,300,32,Non-alloyed steel,"About 0.75% C, Quenched & Tempered",1.007,St 70-2,1055,Fe690-2FN,-,A70-2,1655,Fe 690,F.1150,55,,,,
P,Prehardened Steels,5,300,32,Non-alloyed steel,"About 0.75% C, Quenched & Tempered",1.0535,S55C,C55,1055,070M55,1C55,1655,C55,J05000,55,,,,
P,Prehardened Steels,5,300,32,Non-alloyed steel,"About 0.75% C, Quenched & Tempered",1.0601,S58C,C60,1060,060A62,43D,1C60,C60,G10600,60(G),,,,
P,Prehardened Steels,5,300,32,Non-alloyed steel,"About 0.75% C, Quenched & Tempered",1.1203,S55C,Ck55,1055,060A57,2C55,1655,C55,F.1150,G10550,55,55,,
P,Prehardened Steels,5,300,32,Non-alloyed steel,"About 0.75% C, Quenched & Tempered",1.1221,S58C,Ck60,1060,060A62,43D,2C60,1678,C60,F.1150,G10640,60,60Mn,
P,Prehardened Steels,5,300,32,Non-alloyed steel,"About 0.75% C, Quenched & Tempered",1.1274,SUP4,Ck 101,1095,060 A 96,C 100S,XC100,1870,C100,F.5117,G10950,,,
P,Prehardened Steels,5,300,32,Non-alloyed steel,"About 0.75% C, Quenched & Tempered",1.1545,SK 3,C 105 W1,W1,BW 2,C 105U,Y1 105,1880,C 100 KU,F.5118,U10A,90,,
P,Prehardened Steels,5,300,32,Non-alloyed steel,"About 0.75% C, Quenched & Tempered",1.1663,SK 2,C125W,W112,Y2120,U13,T12A,,,,,,,
P,Prehardened Steels,5,300,32,Non-alloyed steel,"About 0.75% C, Quenched & Tempered",1.512,38MnSi4,,,,,,,,,,,,
P,Prehardened Steels,5,300,32,Non-alloyed steel,"About 0.75% C, Quenched & Tempered",1.571,SNC236,36NiCr6,3135,640A35,111A,35NC6,,,,,,,
P,Prehardened Steels,5,300,32,Non-alloyed steel,"About 0.75% C, Quenched & Tempered",1.7701,51CrMoV4,51CrMoV4,,,,,,,,,,,
P,Prehardened Steels,7,275,29,Low-alloyed Steel,Quenched & Tempered,1.173,C45W3,C45W,XC48,,,,,,,,,,
P,Prehardened Steels,7,275,29,Low-alloyed Steel,Quenched & Tempered,1.2332,SCM(440),47CrMo4,4142,708M40,19A,42CD4,2244,42CrMo4,,,,,
P,Prehardened Steels,7,275,29,Low-alloyed Steel,Quenched & Tempered,1.5736,SNC 631 (H),36NiCr10,3435,30NC11,,,,,,,,,
P,Prehardened Steels,7,275,29,Low-alloyed Steel,Quenched & Tempered,1.6523,SNCM220(H),21NiCrMo2,8620,805M20,362,20NCD2,2506,20NiCrMo2,20C GNM,,,,
P,Prehardened Steels,7,275,29,Low-alloyed Steel,Quenched & Tempered,1.7033,SCr430(H),34Cr4,5132,530A32,18B,32C4,34Cr4(KB),G51300,35C,,,,
